reservationId,itemName,itemId,loanLocation,startTime,isReleased,endTime,isReturned,personId,Email,supervisorId,responderId1,responderId2,responderId3,isPending,isApproved1,isApproved2,isApproved3
1,HP Monitor,1,FSM 1.20 Output Room,2022-04-10 23:22:38.017,TRUE,2022-04-16 23:22:38.017,TRUE,107,reservation1@ubd.edu.bn,200,211,212,213,FALSE,TRUE,TRUE,TRUE
2,Acer Monitor,2,FSM 1.20 Output Room,2022-04-10 23:22:38.017,TRUE,2022-04-16 23:22:38.017,TRUE,107,reservation2@ubd.edu.bn,200,211,212,213,FALSE,TRUE,TRUE,TRUE
3,Hitachi Projector,3,FSM 1.20 Output Room,2022-04-10 23:22:38.017,TRUE,2022-04-16 23:22:38.017,FALSE,107,reservation3@ubd.edu.bn,200,211,212,213,FALSE,TRUE,TRUE,TRUE
4,Digital writing board,4,FSM 1.20 Output Room,2022-04-10 23:22:38.017,FALSE,2022-04-20 23:22:38.017,FALSE,107,reservation4@ubd.edu.bn,200,211,212,213,TRUE,FALSE,FALSE,FALSE
5,Computer chair,5,FSM 1.20 Output Room,2022-04-10 23:22:38.017,FALSE,2022-04-20 23:22:38.017,FALSE,107,reservation5@ubd.edu.bn,200,211,212,213,FALSE,TRUE,FALSE,FALSE
6,Computer chair,6,FSM 1.20 Output Room,2022-04-10 23:22:38.017,TRUE,2022-04-20 23:22:38.017,FALSE,107,reservation6@ubd.edu.bn,200,211,212,213,FALSE,TRUE,TRUE,TRUE
7,TV w/ remote,7,FSM 1.20 Output Room,2022-04-10 23:22:38.017,TRUE,2022-04-22 23:22:38.017,FALSE,107,reservation7@ubd.edu.bn,200,211,212,213,FALSE,TRUE,TRUE,TRUE
8,HP Monitor,8,FSM 1.20 Output Room,2022-04-10 23:22:38.017,FALSE,2022-04-22 23:22:38.017,FALSE,107,reservation8@ubd.edu.bn,200,211,212,213,TRUE,TRUE,TRUE,FALSE
9,TV w/ remote,9,FSM 1.20 Output Room,2022-04-10 23:22:38.017,TRUE,2022-04-24 23:22:38.017,FALSE,107,reservation9@ubd.edu.bn,200,211,212,213,FALSE,TRUE,TRUE,TRUE
10,Viewsonic projector,10,FSM 1.20 Output Room,2022-04-10 23:22:38.017,FALSE,2022-04-30 23:22:38.017,FALSE,107,reservation10@ubd.edu.bn,200,211,212,213,FALSE,FALSE,FALSE,FALSE
