reservationId,itemName,itemId,loanLocation,startTime,isReleased,endTime,isReturned,personId,Email,supervisorId,responderId1,responderId2,responderId3,isPending,isApproved1,isApproved2,isApproved3
1,HP Monitor,1,FSM 1.20 Output Room,2022-03-05 22:38.7,true,2022-04-20 23:22:38.017,true,107,approved-returned@abc.com,200,211,212,213,false,true,true,true
2,Acer Monitor,2,FSM 1.20 Output Room,2022-03-05 22:38.7,true,2022-04-20 23:22:38.017,true,107,approved-returned@abc.com,200,211,212,213,false,true,true,true
3,Hitachi Projector,3,FSM 1.20 Output Room,2022-03-07 22:38.7,true,2022-04-20 23:22:38.017,false,107,approved@abc.com,200,211,212,213,false,true,true,true
4,Digital writing board,4,FSM 1.20 Output Room,2022-03-07 22:38.7,false,2022-04-20 23:22:38.017,false,107,unresponded@abc.com,200,211,212,213,true,false,false,false
5,Computer chair,5,FSM 1.20 Output Room,2022-03-09 22:38.7,false,2022-04-20 23:22:38.017,false,107,unapproved@abc.com,200,211,212,213,false,true,false,false
6,Computer chair,6,FSM 1.20 Output Room,2022-03-09 22:38.7,true,2022-04-20 23:22:38.017,false,107,approved@abc.com,200,211,212,213,false,true,true,true
7,TV w/ remote,7,FSM 1.20 Output Room,2022-03-12 22:38.7,true,2022-04-20 23:22:38.017,false,107,approved@abc.com,200,211,212,213,false,true,true,true
8,HP Monitor,8,FSM 1.20 Output Room,2022-03-12 22:38.7,false,2022-04-20 23:22:38.017,false,107,unapproved@abc.com,200,211,212,213,true,true,true,false
9,TV w/ remote,9,FSM 1.20 Output Room,2022-03-15 22:38.7,true,2022-04-20 23:22:38.017,false,107,approved@abc.com,200,211,212,213,false,true,true,true
10,Viewsonic projector,10,FSM 1.20 Output Room,2022-04-20 23:22:38.017,false,2022-04-20 23:22:38.017,false,107,unapproved@abc.com,200,211,212,213,false,false,false,false
